MP.name,Nature.of.membership,Start.of.term,End.of.term,State,Constituency,Political.party,Gender,Educational.qualifications,Educational.qualifications...details,Age,Debates,Private.Member.Bills,Questions,Attendance,Notes,National.Debates.average,National.Private.Member.Bills.average,National.Questions.average,National.Attendance.average,State.s.Debates.average,State.s.Private.Member.Bills..average,State.s.Questions.average,State.s.Attendance.average,Minister,MajorCriminal,Category,Immoveable,Moveable,MOV,Entitlement,Released,AvailablewInterest,Recommended,Sanctioned,Expenditure,ExpenditureReleasedPerc,Unspent
A. Ganeshamurthi,Elected,18-May-09,In office,Tamil Nadu,Erode,Marumalarchi Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Economics); Educated at Thayagaraja College, Chennai, Tamil Nadu.",66,30,0,418,71%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,GEN,NA,NA,0.064323299,19,19.03,19.46,22.12,19.76,19.46,102.28,0
A.K.S. Vijayan,Elected,18-May-09,In office,Tamil Nadu,Nagapattinam,Dravida Munnetra Kazhagam,Male,Graduate,"B.A.; Educated at Madras University, Chennai, Tamil Nadu",52,31,0,440,57%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,SC,NA,3488000,0.062860802,19,19.03,20.35,18.99,20.04,20.34,106.91,0.01
A.T. Nana Patil,Elected,18-May-09,In office,Maharashtra,Jalgaon,Bharatiya Janata Party,Male,Graduate,M.Com (2nd Year Appearing),52,69,10,641,80%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,1.01E+08,1E+07,0.1462456,19,19.35,21.27,31.69,20.5,19.79,102.25,1.48
Abdul Mannan Hossain,Elected,18-May-09,In office,West Bengal,Murshidabad,Indian National Congress,Male,Graduate,B.A.; Educated at R.K.N.College,61,0,0,0,59%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,1,GEN,1356625,703160,0.033904899,19,20.14,21.36,22.46,21.12,21.36,106.04,0
Abdul Rahman,Elected,18-May-09,In office,Tamil Nadu,Vellore,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A. (Economics), Diploma in Computer Programming; Educated at Jamal Mohamed College, Tiruchhrappalli, Tamil Nadu, Institute of Business Applications, Chennai.",54,37,0,583,68%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,GEN,9549032,2998096,0.1484295,19,19.03,19.71,19.22,19.22,19.71,103.6,0
Abu Hasem Khan Choudhury,Elected,18-May-09,In office,West Bengal,Maldaha Dakshin,Indian National Congress,Male,Graduate,,76,3,0,8,77%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,34,0.7,132,72%,1,0,GEN,12300000,962797,0.1642945,19,17.64,19.16,18.8,17.82,15.27,86.55,3.89
Adagooru H Vishwanath,Elected,18-May-09,In office,Karnataka,Mysore,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at Mysore University and Sharada Vilasa La College, Mysore, Karnataka",64,2,0,344,61%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,0,GEN,26900000,1410972,0.0078973,19,17.11,17.8,28.21,17.11,16.8,98.2,1
Adhi Sankar,Elected,18-May-09,In office,Tamil Nadu,Kallakurichi,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L.; Educated at University of Madras (Tamil Nadu) ",56,12,0,178,58%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,GEN,14400000,3676061,0.12703361,19,16.53,16.92,19.37,19.1,16.92,102.39,0
Adhir Ranjan Chowdhury,Elected,18-May-09,In office,West Bengal,Baharampur,Indian National Congress,Male,Under Matric,"Educated at I.C. Institute, Berhampore, West Bengal",57,88,18,309,82%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,34,0.7,132,72%,1,1,GEN,9383000,19600000,0.1963605,19,20.14,21.91,21.41,21.28,21.91,108.77,0
Agatha K. Sangma,Elected,18-May-09,In office,Meghalaya,Tura,Nationalist Congress Party,Female,Post Graduate,M.A. (Environmental Management); Diploma in Cyber Laws; Diploma in Corporate Laws; Diploma in Human Rights Laws; Diploma in Securities & Investment Laws,33,0,0,0,49%,"This MP was a Minister. She tendered her resignation on 28th Oct, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th Oct, 2012.  (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,1.5,0,14,67%,1,0,ST,5E+06,1644295,0.0524421,19,19,19.59,19.59,19.52,19.59,103.11,0
